Nationality,Sex,Cause of Death,الوفيات,سبب الوفاة,جنس,الجنسية,سنة
Bahraini,Male,Certain Infectious & Parasitic Diseases,32,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2010
Bahraini,Male,Mental Disorder,7,الإضطرابات العقلية,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2010
Bahraini,Male,Diseases of the Circulatory System,183,أمراض الجهاز الدوري,ذكر,بحريني,2010
Bahraini,Male,Undefined illness,286,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,بحريني,2010
Bahraini,Male,External Causes of Morbidity & Mortality,57,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2010
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,3,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2010
Bahraini,Male,Others,4,أخرى,ذكر,بحريني,2010
Bahraini,Female,Certain Infectious & Parasitic Diseases,28,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2010
Bahraini,Female,Diseases of the Nervous System & Sense Organs,21,أمراض الجهاز العصبي,انثى,بحريني,2010
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",2,الحمل والولادة والنفاس*,انثى,بحريني,2010
Bahraini,Female,Undefined illness,201,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2010
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2010
Bahraini,Female,Others,6,أخرى,انثى,بحريني,2010
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,13,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2010
Non-Bahraini,Male,Diseases of the Blood & Blood Forming Organs,4,أمراض الدم وأعضاء تكوين الدم,ذكر,غير بحريني,2010
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2010
Non-Bahraini,Male,Conditions Originating in the Perinental Period,5,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2010
Non-Bahraini,Male,Congential Anomalies,4,العيوب والتشوهات خلقية,ذكر,غير بحريني,2010
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2010
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,0,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2010
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,2,أمراض الجهاز العصبي,انثى,غير بحريني,2010
Non-Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,غير بحريني,2010
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2010
Non-Bahraini,Female,Diseases of the Digestive System,0,أمراض الجهاز الهضمي,انثى,غير بحريني,2010
Non-Bahraini,Female,Conditions Originating in the Perinental Period,3,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2010
Non-Bahraini,Female,Undefined illness,30,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,غير بحريني,2010
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,32,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2011
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2011
Bahraini,Male,Diseases of the Circulatory System,309,أمراض الجهاز الدوري,ذكر,بحريني,2011
Bahraini,Male,Diseases of the Respiratory System,99,أمراض الجهاز التنفسي,ذكر,بحريني,2011
Bahraini,Male,Diseases of the Digestive System,34,أمراض الجهاز الهضمي,ذكر,بحريني,2011
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2011
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2011
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,2,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2011
Bahraini,Female,Mental Disorder,4,الإضطرابات العقلية,انثى,بحريني,2011
Bahraini,Female,Diseases of the Respiratory System,86,أمراض الجهاز التنفسي,انثى,بحريني,2011
Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,18,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,بحريني,2011
Bahraini,Female,Diseases of Genitourinary System,78,أمراض الجهاز التناسلي البولي,انثى,بحريني,2011
Bahraini,Female,Conditions Originating in the Perinental Period,8,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2011
Bahraini,Female,Congential Anomalies,8,العيوب والتشوهات خلقية,انثى,بحريني,2011
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2011
Bahraini,Female,External Causes of Morbidity & Mortality,15,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2011
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,1,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2011
Bahraini,Female,Others,5,أخرى,انثى,بحريني,2011
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,5,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2011
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2011
Non-Bahraini,Male,Diseases of the Circulatory System,185,أمراض الجهاز الدوري,ذكر,غير بحريني,2011
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,3,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2011
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2011
Non-Bahraini,Male,Conditions Originating in the Perinental Period,2,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2011
Non-Bahraini,Male,Undefined illness,12,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2011
Non-Bahraini,Male,External Causes of Morbidity & Mortality,75,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2011
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,2,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2011
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2011
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2011
Non-Bahraini,Female,Conditions Originating in the Perinental Period,1,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2011
Non-Bahraini,Female,External Causes of Morbidity & Mortality,15,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2011
Non-Bahraini,Female,Others,2,أخرى,انثى,غير بحريني,2011
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,23,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2012
Bahraini,Male,Mental Disorder,2,الإضطرابات العقلية,ذكر,بحريني,2012
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2012
Bahraini,Male,Diseases of the Circulatory System,315,أمراض الجهاز الدوري,ذكر,بحريني,2012
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,9,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2012
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2012
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",10,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2012
Bahraini,Female,Certain Infectious & Parasitic Diseases,26,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2012
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",88,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2012
Bahraini,Female,Mental Disorder,1,الإضطرابات العقلية,انثى,بحريني,2012
Bahraini,Female,Diseases of the Circulatory System,249,أمراض الجهاز الدوري,انثى,بحريني,2012
Bahraini,Female,Diseases of the Digestive System,25,أمراض الجهاز الهضمي,انثى,بحريني,2012
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",1,الحمل والولادة والنفاس*,انثى,بحريني,2012
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,10,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2012
Non-Bahraini,Male,Neoplasms,15,الأورام,ذكر,غير بحريني,2012
Non-Bahraini,Male,Mental Disorder,0,الإضطرابات العقلية,ذكر,غير بحريني,2012
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,7,أمراض الجهاز العصبي,ذكر,غير بحريني,2012
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2012
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2012
Non-Bahraini,Male,Undefined illness,13,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2012
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",5,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2012
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2012
Non-Bahraini,Female,Neoplasms,12,الأورام,انثى,غير بحريني,2012
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,5,أمراض الجهاز العصبي,انثى,غير بحريني,2012
Non-Bahraini,Female,Diseases of the Circulatory System,45,أمراض الجهاز الدوري,انثى,غير بحريني,2012
Non-Bahraini,Female,Diseases of the Digestive System,1,أمراض الجهاز الهضمي,انثى,غير بحريني,2012
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,غير بحريني,2012
Non-Bahraini,Female,External Causes of Morbidity & Mortality,13,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2012
Non-Bahraini,Female,Others,6,أخرى,انثى,غير بحريني,2012
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,21,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2013
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",17,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2013
Bahraini,Female,Neoplasms,154,الأورام,انثى,بحريني,2013
Bahraini,Female,Mental Disorder,4,الإضطرابات العقلية,انثى,بحريني,2013
Bahraini,Female,Diseases of the Nervous System & Sense Organs,17,أمراض الجهاز العصبي,انثى,بحريني,2013
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2013
Bahraini,Female,Diseases of the Respiratory System,85,أمراض الجهاز التنفسي,انثى,بحريني,2013
Bahraini,Female,Diseases of the Digestive System,30,أمراض الجهاز الهضمي,انثى,بحريني,2013
Bahraini,Female,Conditions Originating in the Perinental Period,15,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2013
Bahraini,Female,Others,31,أخرى,انثى,بحريني,2013
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,5,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,4,أمراض الجهاز العصبي,ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of the Circulatory System,225,أمراض الجهاز الدوري,ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2013
Non-Bahraini,Male,Diseases of Genitourinary System,9,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2013
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2013
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",17,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2013
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,11,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2013
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,0,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2013
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",4,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2013
Non-Bahraini,Female,Diseases of the Circulatory System,44,أمراض الجهاز الدوري,انثى,غير بحريني,2013
Non-Bahraini,Female,Diseases of the Respiratory System,4,أمراض الجهاز التنفسي,انثى,غير بحريني,2013
Non-Bahraini,Female,Diseases of Genitourinary System,4,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2013
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",2,الحمل والولادة والنفاس*,انثى,غير بحريني,2013
Non-Bahraini,Female,Conditions Originating in the Perinental Period,5,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2013
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2013
Bahraini,Male,Certain Infectious & Parasitic Diseases,27,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2014
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,25,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2014
Bahraini,Male,Mental Disorder,8,الإضطرابات العقلية,ذكر,بحريني,2014
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2014
Bahraini,Male,Diseases of the Respiratory System,97,أمراض الجهاز التنفسي,ذكر,بحريني,2014
Bahraini,Male,Diseases of Genitourinary System,71,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2014
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",57,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2014
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2014
Bahraini,Female,Diseases of the Circulatory System,223,أمراض الجهاز الدوري,انثى,بحريني,2014
Bahraini,Female,Diseases of Genitourinary System,78,أمراض الجهاز التناسلي البولي,انثى,بحريني,2014
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",1,الحمل والولادة والنفاس*,انثى,بحريني,2014
Bahraini,Female,External Causes of Morbidity & Mortality,31,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2014
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2014
Bahraini,Female,Others,21,أخرى,انثى,بحريني,2014
Non-Bahraini,Male,Neoplasms,19,الأورام,ذكر,غير بحريني,2014
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2014
Non-Bahraini,Male,Diseases of the Circulatory System,220,أمراض الجهاز الدوري,ذكر,غير بحريني,2014
Non-Bahraini,Male,Diseases of Genitourinary System,5,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2014
Non-Bahraini,Male,Congential Anomalies,5,العيوب والتشوهات خلقية,ذكر,غير بحريني,2014
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2014
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2014
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,2,أمراض الجهاز العصبي,انثى,غير بحريني,2014
Non-Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,غير بحريني,2014
Non-Bahraini,Female,Diseases of the Circulatory System,45,أمراض الجهاز الدوري,انثى,غير بحريني,2014
Non-Bahraini,Female,Diseases of the Respiratory System,12,أمراض الجهاز التنفسي,انثى,غير بحريني,2014
Non-Bahraini,Female,Diseases of Genitourinary System,7,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2014
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2014
Non-Bahraini,Female,Others,3,أخرى,انثى,غير بحريني,2014
Bahraini,Male,Certain Infectious & Parasitic Diseases,26,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2015
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,23,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2015
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2015
Bahraini,Male,Diseases of the Digestive System,53,أمراض الجهاز الهضمي,ذكر,بحريني,2015
Bahraini,Male,Conditions Originating in the Perinental Period,15,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2015
Bahraini,Male,Congential Anomalies,22,العيوب والتشوهات خلقية,ذكر,بحريني,2015
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,17,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2015
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",41,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2015
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2015
Bahraini,Female,Diseases of the Circulatory System,264,أمراض الجهاز الدوري,انثى,بحريني,2015
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",3,الحمل والولادة والنفاس*,انثى,بحريني,2015
Bahraini,Female,Conditions Originating in the Perinental Period,15,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2015
Bahraini,Female,Undefined illness,79,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2015
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,3,أمراض الجهاز العصبي,ذكر,غير بحريني,2015
Non-Bahraini,Male,Diseases of the Circulatory System,281,أمراض الجهاز الدوري,ذكر,غير بحريني,2015
Non-Bahraini,Male,Diseases of the Respiratory System,21,أمراض الجهاز التنفسي,ذكر,غير بحريني,2015
Non-Bahraini,Male,Diseases of the Digestive System,10,أمراض الجهاز الهضمي,ذكر,غير بحريني,2015
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2015
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2015
Non-Bahraini,Female,Neoplasms,21,الأورام,انثى,غير بحريني,2015
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2015
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,1,أمراض الجهاز العصبي,انثى,غير بحريني,2015
Non-Bahraini,Female,Diseases of the Respiratory System,12,أمراض الجهاز التنفسي,انثى,غير بحريني,2015
Non-Bahraini,Female,Diseases of the Digestive System,4,أمراض الجهاز الهضمي,انثى,غير بحريني,2015
Non-Bahraini,Female,Diseases of Genitourinary System,8,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2015
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",3,الحمل والولادة والنفاس*,انثى,غير بحريني,2015
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2015
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2015
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2015
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",28,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2016
Bahraini,Male,Diseases of the Circulatory System,509,أمراض الجهاز الدوري,ذكر,بحريني,2016
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,12,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2016
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2016
Bahraini,Male,Congential Anomalies,18,العيوب والتشوهات خلقية,ذكر,بحريني,2016
Bahraini,Male,External Causes of Morbidity & Mortality,75,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2016
Bahraini,Male,Others,0,أخرى,ذكر,بحريني,2016
Bahraini,Female,Neoplasms,214,الأورام,انثى,بحريني,2016
Bahraini,Female,Mental Disorder,1,الإضطرابات العقلية,انثى,بحريني,2016
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2016
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",6,الحمل والولادة والنفاس*,انثى,بحريني,2016
Bahraini,Female,Congential Anomalies,24,العيوب والتشوهات خلقية,انثى,بحريني,2016
Bahraini,Female,Others,0,أخرى,انثى,بحريني,2016
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2016
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2016
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2016
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2016
Non-Bahraini,Male,External Causes of Morbidity & Mortality,86,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2016
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,1,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2016
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,3,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2016
Non-Bahraini,Female,Diseases of the Circulatory System,59,أمراض الجهاز الدوري,انثى,غير بحريني,2016
Non-Bahraini,Female,Diseases of the Respiratory System,15,أمراض الجهاز التنفسي,انثى,غير بحريني,2016
Non-Bahraini,Female,Diseases of the Digestive System,3,أمراض الجهاز الهضمي,انثى,غير بحريني,2016
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,غير بحريني,2016
Non-Bahraini,Female,External Causes of Morbidity & Mortality,5,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2016
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",36,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2017
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2017
Bahraini,Male,Diseases of the Circulatory System,545,أمراض الجهاز الدوري,ذكر,بحريني,2017
Bahraini,Male,Diseases of the Respiratory System,116,أمراض الجهاز التنفسي,ذكر,بحريني,2017
Bahraini,Male,Diseases of the Digestive System,48,أمراض الجهاز الهضمي,ذكر,بحريني,2017
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,8,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2017
Bahraini,Male,Diseases of Genitourinary System,85,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2017
Bahraini,Male,Conditions Originating in the Perinental Period,15,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2017
Bahraini,Male,Congential Anomalies,21,العيوب والتشوهات خلقية,ذكر,بحريني,2017
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",1,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2017
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2017
Bahraini,Female,Diseases of the Circulatory System,390,أمراض الجهاز الدوري,انثى,بحريني,2017
Bahraini,Female,Conditions Originating in the Perinental Period,14,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2017
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2017
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,3,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2017
Non-Bahraini,Male,Mental Disorder,1,الإضطرابات العقلية,ذكر,غير بحريني,2017
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,7,أمراض الجهاز العصبي,ذكر,غير بحريني,2017
Non-Bahraini,Male,Diseases of the Respiratory System,14,أمراض الجهاز التنفسي,ذكر,غير بحريني,2017
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2017
Non-Bahraini,Male,Congential Anomalies,10,العيوب والتشوهات خلقية,ذكر,غير بحريني,2017
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2017
Non-Bahraini,Male,External Causes of Morbidity & Mortality,116,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2017
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",5,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2017
Non-Bahraini,Female,Diseases of the Respiratory System,7,أمراض الجهاز التنفسي,انثى,غير بحريني,2017
Non-Bahraini,Female,External Causes of Morbidity & Mortality,15,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2017
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2017
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2017
